,npi,total_claim_count,bene_count,opioid_claim_count,opioid_day_supply,opioid_bene_count,opioid_prescriber_rate,credential_md,credential_rn,credential_phd,credential_dds,credential_pa,credential_mba,clusters
0,1710085196,34583,2002,20599,615456,1936,59.56,1,0,0,0,0,0,-1
1,1750347605,29183,3518,19935,595751,3181,68.31,1,0,0,0,0,0,-1
2,1326092610,28304,2180,17590,508726,2085,62.15,1,0,0,0,0,0,-1
3,1104030782,26069,1891,16613,481336,1699,63.73,1,0,0,0,0,0,-1
4,1073555397,23201,1417,16024,465534,1391,69.07,1,0,0,0,0,0,-1
5,1356427850,27416,1228,15794,457985,1172,57.61,1,0,0,0,0,0,0
6,1881673507,25318,1472,15757,469039,1394,62.24,0,0,0,0,0,0,-1
7,1619004744,24473,1916,15533,460049,1891,63.47,0,0,0,0,0,0,-1
8,1043276488,21653,3533,15484,463336,3270,71.51,1,0,0,0,0,0,-1
9,1023078441,21618,1459,14959,417758,1429,69.2,1,0,0,0,0,0,0
10,1831150630,20683,2211,14604,420729,1981,70.61,1,0,0,0,0,0,-1
11,1912996059,21500,1523,14447,379146,1481,67.2,1,0,0,0,0,0,0
12,1164621314,19577,1413,13751,394158,1323,70.24,0,0,0,0,0,0,0
13,1942332242,21928,1637,13556,396744,1474,61.82,1,0,0,0,0,0,0
14,1720060247,28603,1070,13259,391384,1024,46.36,1,1,1,1,1,1,-1
15,1588787162,23658,824,13204,358662,806,55.81,0,0,0,0,0,0,0
16,1306853510,27074,1347,13109,397746,1193,48.42,1,0,0,0,0,0,0
17,1558460261,25447,944,13028,386816,899,51.2,1,0,0,0,0,0,0
18,1134167455,22451,1335,12982,377950,1232,57.82,1,0,0,0,0,0,0
19,1164419073,18946,1871,12890,368803,1790,68.04,1,0,0,0,0,0,0
20,1154574044,18386,1383,12792,371731,1247,69.57,1,0,0,0,0,0,0
21,1265522635,22263,1599,12742,365999,1559,57.23,1,0,0,0,0,0,0
22,1760472708,19051,1360,12687,334737,1317,66.59,1,0,0,0,0,0,0
23,1962602250,20077,1295,12685,365007,1189,63.18,1,0,0,0,0,0,0
24,1750364121,20184,1121,12630,371435,1099,62.57,1,0,0,0,0,0,0
25,1972509974,15642,781,12565,371537,763,80.33,0,0,0,0,0,0,0
26,1417927229,23120,1249,12378,368039,1134,53.54,1,0,0,0,0,0,0
27,1346390671,14287,1315,12285,361799,1268,85.99,1,1,1,1,1,1,-1
28,1730150194,19626,1599,12249,342854,1558,62.41,1,0,0,0,0,0,0
29,1215924154,19278,1915,12238,362072,1681,63.48,1,0,0,0,0,0,0
30,1689682353,19967,1070,12167,358324,1020,60.94,1,0,0,0,0,0,0
31,1487613642,24601,1394,11989,348982,1262,48.73,1,0,0,0,0,0,0
32,1689865891,34219,1515,11890,357372,1180,34.75,1,0,0,0,0,0,0
33,1326035163,21443,1486,11843,355067,1414,55.23,1,0,0,0,0,0,0
34,1417964859,19085,789,11827,351963,775,61.97,1,0,0,0,0,0,0
35,1912297805,15171,1984,11671,349252,1891,76.93,1,0,0,0,0,0,0
36,1497989180,17493,1716,11642,326254,1585,66.55,1,0,0,0,0,0,0
37,1134170038,22487,1593,11506,333264,1529,51.17,0,0,0,0,0,0,0
38,1619948429,19723,1250,11491,341223,1056,58.26,1,1,1,1,1,1,-1
39,1205982998,16398,1739,11369,318685,1571,69.33,0,0,0,0,0,0,0
40,1114960382,19428,1001,11351,345922,986,58.43,1,0,0,0,0,0,0
41,1134362288,24808,1510,11284,329682,1367,45.49,1,0,0,0,0,0,0
42,1043245749,18836,974,11282,306756,891,59.9,0,0,0,0,0,0,0
43,1609284751,14939,1323,11204,319380,1287,75.0,1,0,0,0,0,0,0
44,1043205305,17708,1187,10996,314080,1097,62.1,1,0,0,0,0,0,0
45,1871521252,17489,1611,10967,327171,1474,62.71,1,0,0,0,0,0,0
46,1215199609,17200,1201,10877,317875,1119,63.24,0,0,0,0,0,0,0
47,1134153430,16875,2090,10839,314147,1881,64.23,1,0,0,0,0,0,0
48,1104884246,14398,947,10822,290523,906,75.16,0,0,0,0,0,0,0
49,1518963081,19454,1052,10758,317170,1011,55.3,1,0,0,0,0,0,0
50,1568445666,20783,1583,10745,314693,1487,51.7,1,0,0,0,0,0,0
51,1205058328,14567,1299,10467,300690,1219,71.85,1,0,0,0,0,0,0
52,1558557272,17081,1206,10432,248501,1083,61.07,1,0,0,0,0,0,0
53,1871551804,14201,1593,10394,309927,1555,73.19,1,1,1,1,1,1,-1
54,1851342372,13943,1220,10369,299737,1159,74.37,1,0,0,0,0,0,0
55,1609037969,13380,1367,10160,304108,1290,75.93,1,0,0,0,0,0,0
56,1902809080,13035,1793,10063,300903,1693,77.2,1,0,0,0,0,0,0
57,1205078987,14987,1485,10051,297779,1201,67.06,0,0,0,0,0,0,0
58,1629063904,11923,1330,9969,292739,1292,83.61,1,0,0,0,0,0,0
59,1780672543,15473,1678,9935,295652,1426,64.21,1,0,0,0,0,0,0
60,1952362824,19997,988,9906,283319,957,49.54,1,0,0,0,0,0,0
61,1306036942,12150,1770,9761,290065,1656,80.34,1,0,0,0,0,0,0
62,1821035916,16160,597,9760,269747,572,60.4,1,0,0,0,0,0,0
63,1205837374,14829,1579,9751,272165,1539,65.76,1,0,0,0,0,0,0
64,1558321612,19190,1043,9657,289049,888,50.32,1,0,0,0,0,0,0
65,1679717136,15237,1609,9595,275901,1496,62.97,1,0,0,0,0,0,0
66,1639392558,17996,889,9488,284232,849,52.72,1,0,0,0,0,0,0
67,1700016250,21528,1125,9477,264703,1035,44.02,1,0,0,0,0,0,0
68,1225075088,14083,1622,9414,274501,1307,66.85,1,0,0,0,0,0,0
69,1104852888,16414,867,9398,273265,818,57.26,0,0,0,0,0,0,0
70,1447238415,11547,877,9354,275813,829,81.01,1,0,0,0,0,0,0
71,1215950829,12255,1347,9345,279264,1294,76.25,1,0,0,0,0,0,0
72,1356410443,18282,722,9262,260277,706,50.66,0,0,0,0,0,0,0
73,1952361735,13511,1021,9255,273224,958,68.5,1,0,0,0,0,0,0
74,1568485233,11712,928,9253,277905,895,79.0,0,0,0,0,0,0,0
75,1952386435,12011,1057,9236,274017,999,76.9,1,0,0,0,0,0,0
76,1497714851,14750,854,9107,271410,842,61.74,1,0,0,0,0,0,0
77,1285912790,11394,1924,9072,264193,1872,79.62,1,0,0,0,0,0,0
78,1164482311,14571,1264,9034,270006,1233,62.0,1,0,0,0,0,0,0
79,1003814435,14622,946,9023,259343,890,61.71,1,0,0,0,0,0,0
80,1467521567,15575,787,8913,270457,726,57.23,1,0,0,0,0,0,0
81,1548374085,15664,815,8883,260462,742,56.71,1,0,0,0,0,1,-1
82,1265571509,18344,1198,8870,261291,1005,48.35,1,0,0,0,0,0,0
83,1538130018,15019,1269,8867,256579,1127,59.04,1,0,0,0,0,0,0
84,1053324129,14232,899,8845,247669,875,62.15,1,0,0,0,0,0,0
85,1578584355,15905,1026,8785,259867,957,55.23,1,0,0,0,0,0,0
86,1780676940,10751,891,8784,259497,865,81.7,1,0,0,0,0,0,0
87,1295789444,10784,932,8771,260749,843,81.33,1,0,0,0,0,0,0
88,1851380976,14486,1123,8746,221442,1067,60.38,1,0,0,0,0,0,0
89,1851380984,14757,1340,8745,220323,1266,59.26,1,0,0,0,0,0,0
90,1568410223,11779,1213,8742,261448,1125,74.22,1,0,0,0,0,0,0
91,1013977016,14156,647,8710,256517,595,61.53,1,0,0,0,0,0,0
92,1265676688,13897,1418,8707,247257,1304,62.65,1,0,0,0,0,0,0
93,1447252861,16071,701,8688,252618,685,54.06,1,0,0,0,0,0,0
94,1972503415,13851,903,8683,261303,855,62.69,1,0,0,0,0,0,0
95,1154313807,15121,952,8678,238714,914,57.39,1,0,0,0,0,0,0
96,1972568558,13433,851,8638,252907,784,64.3,1,0,0,0,0,0,0
97,1942524806,11842,1808,8636,257378,1667,72.93,1,0,0,0,0,0,0
98,1265587869,12546,1367,8496,253983,1314,67.72,1,0,0,0,0,0,0
99,1528078490,13367,889,8489,252749,868,63.51,1,0,0,0,0,0,0
100,1225069065,14072,1497,8445,245746,1337,60.01,1,0,0,0,0,0,0
101,1265422794,12424,1397,8445,251532,1159,67.97,1,0,0,0,0,0,0
102,1649373697,12903,789,8435,249640,662,65.37,1,0,0,0,0,0,0
103,1205817525,14562,1347,8431,253288,1299,57.9,1,0,0,0,0,0,0
